epoch       	ep_ret      	ep_tx       	newbytes    	ep_delay   	ep_delay_normal   	ep_throu   
0	37.07111619927606	954721558.5940762	505150002.3449759	0.0	0	910493.429750515
1	39.8060300393674	980698594.7678659	511852536.2497833	0.0	0	935267.0619658146
2	38.26092034128464	931789077.8392117	481059121.6030592	0.0	0	888623.3118431204
3	39.478920650092704	1002421877.3879105	553699075.376395	0.0	0	955983.9986685852
4	37.95614090522327	950410281.6792828	504778253.8889385	0.0	0	906381.8756859609
5	38.18682263578969	946173362.1781063	433793328.6084297	0.0	0	902341.2343770087
6	38.937090634134016	985965064.2333298	566804663.1067314	0.0	0	940289.5586331654
7	38.26597468223748	951087084.5216432	561870078.12851	0.0	0	907027.3251739912
8	38.24209916494502	971824994.8237448	538041763.7648538	0.0	0	926804.5376050425
9	38.838544141585814	982424215.1081971	598548054.7310425	0.0	0	936912.7417642565
10	38.94898271919747	976372557.8761226	501224195.92384773	0.0	0	931141.4316903332
11	37.14876447117004	925986874.4797416	525239225.1499005	0.0	0	883089.8995206277
12	37.90647755022966	975940317.1279916	501141136.3635122	0.0	0	930729.2147903359
13	36.63934968562455	940345958.5319506	489384488.6260223	0.0	0	896783.789188338
14	38.07644453230062	971240579.0205324	505995958.07293034	0.0	0	926247.1952634165
15	37.00332729544238	936041828.0283275	424437619.38118684	0.0	0	892679.0504725716
